# Formato: CATEGORIA|PALAVRA
# 156 palavras distribuídas em 13 categorias

TECNOLOGIA|COMPUTADOR
TECNOLOGIA|ALGORITMO
TECNOLOGIA|INTERNET
TECNOLOGIA|SERVIDOR
TECNOLOGIA|SOCKET
TECNOLOGIA|PROGRAMAÇÃO
TECNOLOGIA|BANCO DE DADOS
TECNOLOGIA|INTELIGÊNCIA ARTIFICIAL
TECNOLOGIA|REALIDADE VIRTUAL
TECNOLOGIA|CIBERSEGURANÇA
TECNOLOGIA|PROCESSADOR
TECNOLOGIA|ROBÓTICA

ANIMAIS|ELEFANTE
ANIMAIS|GIRAFA
ANIMAIS|TARTARUGA
ANIMAIS|ORNITORRINCO
ANIMAIS|CAPIVARA
ANIMAIS|TAMANDUÁ
ANIMAIS|GOLFINHO
ANIMAIS|CAMALEÃO
ANIMAIS|FLAMINGO
ANIMAIS|HIPOPÓTAMO
ANIMAIS|CANGURU
ANIMAIS|PINGUIM

PAÍSES|BRASIL
PAÍSES|CANADÁ
PAÍSES|AUSTRÁLIA
PAÍSES|JAPÃO
PAÍSES|NORUEGA
PAÍSES|ALEMANHA
PAÍSES|ARGENTINA
PAÍSES|PORTUGAL
PAÍSES|MOÇAMBIQUE
PAÍSES|INDONÉSIA
PAÍSES|TAILÂNDIA
PAÍSES|SUÍÇA

CIDADES|GOIÂNIA
CIDADES|CURITIBA
CIDADES|SALVADOR
CIDADES|FORTALEZA
CIDADES|LONDRES
CIDADES|AMSTERDÃ
CIDADES|NOVA IORQUE
CIDADES|BARCELONA
CIDADES|TÓQUIO
CIDADES|VENEZA
CIDADES|BUENOS AIRES
CIDADES|JOANESBURGO

FILMES E SÉRIES|INTERESTELAR
FILMES E SÉRIES|MATRIX
FILMES E SÉRIES|GLADIADOR
FILMES E SÉRIES|AVATAR
FILMES E SÉRIES|VINGADORES
FILMES E SÉRIES|BREAKING BAD
FILMES E SÉRIES|STRANGER THINGS
FILMES E SÉRIES|JURASSIC PARK
FILMES E SÉRIES|SENHOR DOS ANÉIS
FILMES E SÉRIES|STAR WARS
FILMES E SÉRIES|O PODEROSO CHEFÃO
FILMES E SÉRIES|CIDADE DE DEUS

MÚSICA|GUITARRA
MÚSICA|BATERIA
MÚSICA|ORQUESTRA
MÚSICA|SINFONIA
MÚSICA|ROCK AND ROLL
MÚSICA|HEAVY METAL
MÚSICA|VIOLINO
MÚSICA|SAXOFONE
MÚSICA|PIANO
MÚSICA|CAVAQUINHO
MÚSICA|MICROFONE
MÚSICA|MELODIA

ESPORTES|FUTEBOL
ESPORTES|BASQUETE
ESPORTES|NATAÇÃO
ESPORTES|ATLETISMO
ESPORTES|VÔLEI
ESPORTES|CICLISMO
ESPORTES|SKATE
ESPORTES|SURFE
ESPORTES|HANDEBOL
ESPORTES|AUTOMOBILISMO
ESPORTES|GINÁSTICA
ESPORTES|ARTES MARCIAIS

ALIMENTOS|CHOCOLATE
ALIMENTOS|LASANHA
ALIMENTOS|BRIGADEIRO
ALIMENTOS|FEIJOADA
ALIMENTOS|HAMBÚRGUER
ALIMENTOS|PIPOCA
ALIMENTOS|ABACAXI
ALIMENTOS|MELANCIA
ALIMENTOS|ESTROGONOFE
ALIMENTOS|PÃO DE QUEIJO
ALIMENTOS|MACARRONADA
ALIMENTOS|SORVETE

NATUREZA|CACHOEIRA
NATUREZA|MONTANHA
NATUREZA|FLORESTA
NATUREZA|OCEANO
NATUREZA|VULCÃO
NATUREZA|ARCO ÍRIS
NATUREZA|TEMPESTADE
NATUREZA|DESERTO
NATUREZA|CONSTELAÇÃO
NATUREZA|GELEIRA
NATUREZA|AMAZÔNIA
NATUREZA|PÔR DO SOL

PROFISSÕES|PROGRAMADOR
PROFISSÕES|ARQUITETO
PROFISSÕES|PROFESSOR
PROFISSÕES|BOMBEIRO
PROFISSÕES|ASTRONAUTA
PROFISSÕES|VETERINÁRIO
PROFISSÕES|JORNALISTA
PROFISSÕES|ENGENHEIRO
PROFISSÕES|CIENTISTA
PROFISSÕES|FOTÓGRAFO
PROFISSÕES|ELETRICISTA
PROFISSÕES|DESENVOLVEDOR

JOGOS|MINECRAFT
JOGOS|STARDEW VALLEY
JOGOS|SKYRIM
JOGOS|RED DEAD REDEMPTION
JOGOS|CIVILIZATION
JOGOS|POKÉMON
JOGOS|THE WITCHER
JOGOS|GOD OF WAR
JOGOS|MARIO KART
JOGOS|TETRIS
JOGOS|BALDURS GATE
JOGOS|TOMB RAIDER

CIÊNCIA|ASTRONOMIA
CIÊNCIA|GRAVIDADE
CIÊNCIA|MOLÉCULA
CIÊNCIA|EVOLUÇÃO
CIÊNCIA|FOTOSSÍNTESE
CIÊNCIA|ELETRICIDADE
CIÊNCIA|MICROSCÓPIO
CIÊNCIA|GALÁXIA
CIÊNCIA|DINOSSAURO
CIÊNCIA|ECOSSISTEMA
CIÊNCIA|QUÍMICA
CIÊNCIA|GENÉTICA

OBJETOS|GUARDA CHUVA
OBJETOS|GELADEIRA
OBJETOS|TELESCÓPIO
OBJETOS|BICICLETA
OBJETOS|TRAVESSEIRO
OBJETOS|MOCHILA
OBJETOS|CONTROLE REMOTO
OBJETOS|VENTILADOR
OBJETOS|GRAMPEADOR
OBJETOS|DESPERTADOR
OBJETOS|FONE DE OUVIDO
OBJETOS|LANTERNA
